"Source:","C:\Users\nick.bonnett-murphy\Documents\kicad\surfgen\surfgen.sch"
"Date:","8/2/2022 4:21:08 PM"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part Nr"
"","","BT1","9V","Device:Battery","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"","","BT2","9V","Device:Battery","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"","","C1","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C2","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C3","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C4","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C5","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C6","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"","","C7","100uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","MAL213631101E3 "
"","","C8","10uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","EEU-FR1H100B"
"","","C9","0.1uF","Device:C_Small","Capacitor_THT:C_Disc_D14.5mm_W5.0mm_P7.50mm","~","S104Z93Z5VL83L0R"
"","","C10","0.005uF","Device:C_Small","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P7.50mm","~","S502M39Z5UN63L6R"
"","","C11","0.05uF","Device:C_Small","Capacitor_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm","~","S503Z69Z5UL63L0R "
"","","C12","0.22uF","Device:C_Small","Capacitor_THT:C_Rect_L28.0mm_W12.0mm_P22.50mm_MKS4","~","715P22452LD3"
"","","C13","2.2uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","860131274002 "
"","","C14","0.22uF","Device:C_Small","Capacitor_THT:C_Rect_L28.0mm_W12.0mm_P22.50mm_MKS4","~","715P22452LD3"
"","","C15","1000uF","Device:CP1_Small","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~","EEU-FP1V102B"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","512-1N914"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","512-1N914"
"","","J1","AudioJack2","Connector:AudioJack2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"","","J2","pads","Connector:Conn_01x02_Female","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"","","Q1","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q2","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q3","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q4","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q5","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q6","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q7","2N2712","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"","","Q8","2N5088","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","610-2N5088"
"","","R1","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R2","100k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF55100K00BEEB"
"","","R3","330k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD332K0F"
"","","R4","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R5","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R6","220k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF07220K00GKR6"
"","","R7","47k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"","","R8","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R9","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R10","100k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF55100K00BEEB"
"","","R11","68k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","R12","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"","","R13","22k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD22K10F"
"","","R14","33k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0003302JR5"
"","","R15","10k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD10K00F"
"","","R16","39k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD39K20F"
"","","R17","47k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"","","R18","4.7k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0004701JR5"
"","","R19","1M","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0001004JA5"
"","","R20","1M","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0001004JA5"
"","","R21","100K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF55100K00BEEB"
"","","R22","100R","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD100R0F"
"","","R23","47K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"","","R24","1k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD1K000F"
"","","R25","68K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","R26","68K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","R27","10k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD10K00F"
"","","R28","33k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0003302JR5"
"","","R29","47k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"","","R30","68K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","R31","68K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","R32","470R","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0004700FR5"
"","","R33","68k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"","","RV34","50K","Device:R_POT_TRIM_US","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical","~","3296Y-1-503LF"
"","","RV35","50K","Device:R_POT_TRIM_US","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical","~","3296Y-1-503LF"
"","","SW1","SPST","Switch:SW_SPST","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part Nr"
"1","2","BT1, BT2","9V","Device:Battery","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"2","6","C1, C2, C3, C4, C5, C6","30uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","EGXF251ELL300MJ25S"
"3","1","C7","100uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","MAL213631101E3 "
"4","1","C8","10uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","EEU-FR1H100B"
"5","1","C9","0.1uF","Device:C_Small","Capacitor_THT:C_Disc_D14.5mm_W5.0mm_P7.50mm","~","S104Z93Z5VL83L0R"
"6","1","C10","0.005uF","Device:C_Small","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P7.50mm","~","S502M39Z5UN63L6R"
"7","1","C11","0.05uF","Device:C_Small","Capacitor_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm","~","S503Z69Z5UL63L0R "
"8","2","C12, C14","0.22uF","Device:C_Small","Capacitor_THT:C_Rect_L28.0mm_W12.0mm_P22.50mm_MKS4","~","715P22452LD3"
"9","1","C13","2.2uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","860131274002 "
"10","1","C15","1000uF","Device:CP1_Small","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~","EEU-FP1V102B"
"11","2","D1, D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","512-1N914"
"12","1","J1","AudioJack2","Connector:AudioJack2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"13","1","J2","pads","Connector:Conn_01x02_Female","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
"14","6","Q1, Q2, Q3, Q4, Q5, Q6","see schematic","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"15","1","Q7","2N2712","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","see schematic"
"16","1","Q8","2N5088","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","610-2N5088"
"17","6","R1, R4, R5, R8, R9, R12","6.8k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF556K8000FKEB"
"18","2","R2, R10","100k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF55100K00BEEB"
"19","1","R3","330k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD332K0F"
"20","1","R6","220k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF07220K00GKR6"
"21","3","R7, R17, R29","47k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"22","2","R11, R33","68k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"23","1","R13","22k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD22K10F"
"24","2","R14, R28","33k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0003302JR5"
"25","2","R15, R27","10k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD10K00F"
"26","1","R16","39k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD39K20F"
"27","1","R18","4.7k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0004701JR5"
"28","2","R19, R20","1M","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0001004JA5"
"29","1","R21","100K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","71-CMF55100K00BEEB"
"30","1","R22","100R","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD100R0F"
"31","1","R23","47K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","CMF5547K000FHEK"
"32","1","R24","1k","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-5053HD1K000F"
"33","4","R25, R26, R30, R31","68K","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0006802JR5"
"34","1","R32","470R","Device:R_Small_US","custom parts:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_refctr","~","594-SFR25H0004700FR5"
"35","2","RV34, RV35","50K","Device:R_POT_TRIM_US","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical","~","3296Y-1-503LF"
"36","1","SW1","SPST","Switch:SW_SPST","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","phoenix mkds series or compatible 5.08 pitch screw terminal","651-1715721"
